Assembly,Chromosome,Plasmid
GCF_003627255.1,NZ_CP032637.1,NZ_CP032638.1
GCF_003627255.1,NZ_CP032637.1,NZ_CP032639.1
GCF_003627275.1,NZ_CP032633.1,NZ_CP032634.1
GCF_003627295.1,NZ_CP032654.1,NZ_CP032655.1
GCF_003627295.1,NZ_CP032654.1,NZ_CP032656.1
GCF_003627295.1,NZ_CP032654.1,NZ_CP032657.1
GCF_003627295.1,NZ_CP032654.1,NZ_CP032658.1
GCF_003627315.1,NZ_CP032640.1,NZ_CP032641.1
GCF_003627335.1,NZ_CP032642.1,NZ_CP032643.1
GCF_003627335.1,NZ_CP032642.1,NZ_CP032644.1
GCF_003627335.1,NZ_CP032642.1,NZ_CP032645.1
GCF_003627335.1,NZ_CP032642.1,NZ_CP032646.1
GCF_003627335.1,NZ_CP032642.1,NZ_CP032647.1
GCF_003627355.1,NZ_CP032648.1,NZ_CP032649.1
GCF_003627355.1,NZ_CP032648.1,NZ_CP032650.1
GCF_003627355.1,NZ_CP032648.1,NZ_CP032651.1
GCF_003627375.1,NZ_CP032659.1,NZ_CP032660.1
GCF_003627375.1,NZ_CP032659.1,NZ_CP032661.1
GCF_003627375.1,NZ_CP032659.1,NZ_CP032662.1
GCF_003627395.2,NZ_CP061322.1,NZ_CP061325.1
GCF_003627395.2,NZ_CP061322.1,NZ_CP061327.1
GCF_003627395.2,NZ_CP061322.1,NZ_CP061328.1
GCF_003627395.2,NZ_CP061322.1,NZ_CP061324.1
GCF_003627395.2,NZ_CP061322.1,NZ_CP061326.1
GCF_003627395.2,NZ_CP061322.1,NZ_CP061323.1
GCF_003627755.1,NZ_CP032694.1,NZ_CP032697.1
GCF_003627755.1,NZ_CP032694.1,NZ_CP032696.1
GCF_003627755.1,NZ_CP032694.1,NZ_CP032695.1
GCF_003627775.1,NZ_CP032689.1,NZ_CP032693.1
GCF_003627775.1,NZ_CP032689.1,NZ_CP032692.1
GCF_003627775.1,NZ_CP032689.1,NZ_CP032691.1
GCF_003627775.1,NZ_CP032689.1,NZ_CP032690.1
GCF_003627795.1,NZ_CP032684.1,NZ_CP032688.1
GCF_003627795.1,NZ_CP032684.1,NZ_CP032687.1
GCF_003627795.1,NZ_CP032684.1,NZ_CP032686.1
GCF_003627795.1,NZ_CP032684.1,NZ_CP032685.1
GCF_003627855.1,NZ_CP032515.1,NZ_CP032517.1
GCF_003627855.1,NZ_CP032515.1,NZ_CP032516.1
GCF_003627875.1,NZ_CP032652.1,NZ_CP032653.1
GCF_003641145.1,NZ_CP032744.1,NZ_CP032745.1
GCF_003641145.1,NZ_CP032744.1,NZ_CP032746.1
GCF_003641145.1,NZ_CP032744.1,NZ_CP032747.1
GCF_003641145.1,NZ_CP032744.1,NZ_CP032748.1
GCF_003641145.1,NZ_CP032744.1,NZ_CP032749.1
GCF_003641145.1,NZ_CP032744.1,NZ_CP032750.1
GCF_003641165.1,NZ_CP032751.1,NZ_CP032752.1
GCF_003641165.1,NZ_CP032751.1,NZ_CP032753.1
GCF_003641165.1,NZ_CP032751.1,NZ_CP032754.1
GCF_003641165.1,NZ_CP032751.1,NZ_CP032755.1
GCF_003641165.1,NZ_CP032751.1,NZ_CP032756.1
GCF_003641185.1,NZ_CP032757.1,NZ_CP032758.1
GCF_003641225.1,NZ_CP032739.1,NZ_CP032740.1
GCF_003660105.1,NZ_CP032823.1,NZ_CP032824.1
GCF_003660125.1,NZ_CP032841.1,NZ_CP032842.1
GCF_003660125.1,NZ_CP032841.1,NZ_CP032843.1
GCF_003660125.1,NZ_CP032841.1,NZ_CP032844.1
GCF_003660125.1,NZ_CP032841.1,NZ_CP032845.1
GCF_003660125.1,NZ_CP032841.1,NZ_CP032846.1
GCF_003660125.1,NZ_CP032841.1,NZ_CP032847.1
GCF_003660165.1,NZ_CP032829.1,NZ_CP032828.1
GCF_003660165.1,NZ_CP032829.1,NZ_CP032827.1
GCF_003660185.1,NZ_CP032831.1,NZ_CP032832.1
GCF_003660205.1,NZ_CP032833.1,NZ_CP032834.1
GCF_003660205.1,NZ_CP032833.1,NZ_CP032835.1
GCF_003660205.1,NZ_CP032833.1,NZ_CP032836.1
GCF_003660205.1,NZ_CP032833.1,NZ_CP032837.1
GCF_003660205.1,NZ_CP032833.1,NZ_CP032838.1
GCF_003665215.1,NZ_CP032855.1,NZ_CP032856.1
GCF_003665235.1,NZ_CP032853.1,NZ_CP032854.1
GCF_003665275.1,NZ_CP032857.1,NZ_CP032858.1
GCF_003665275.1,NZ_CP032857.1,NZ_CP032859.1
GCF_003665295.1,NZ_CP032867.1,NZ_CP032868.1
GCF_003665315.1,NZ_CP032863.1,NZ_CP032864.1
GCF_003665335.1,NZ_CP032861.1,NZ_CP032862.1
GCF_003665355.1,NZ_CP032865.1,NZ_CP032866.1
GCF_003665375.1,NZ_CP032897.1,NZ_CP032893.1
GCF_003665375.1,NZ_CP032897.1,NZ_CP032894.1
GCF_003665375.1,NZ_CP032897.1,NZ_CP032895.1
GCF_003665375.1,NZ_CP032897.1,NZ_CP032896.1
GCF_003665395.1,NZ_CP032872.1,NZ_CP032873.1
GCF_003665395.1,NZ_CP032872.1,NZ_CP032874.1
GCF_003665415.1,NZ_CP032871.1,NZ_CP032870.1
GCF_003665435.1,NZ_CP023407.1,NZ_CP023408.1
GCF_003665455.1,NZ_CP023662.1,NZ_CP024031.1
GCF_003665455.1,NZ_CP023662.1,NZ_CP024030.1
GCF_003665475.1,NZ_CP023661.1,NZ_CP024032.1
GCF_003665475.1,NZ_CP023661.1,NZ_CP024080.1
GCF_003665475.1,NZ_CP023661.1,NZ_CP024033.1
GCF_003665535.1,NZ_CP024673.1,NZ_CP024674.1
GCF_003665615.1,NZ_CP024680.1,NZ_CP024681.1
GCF_003665615.1,NZ_CP024680.1,NZ_CP024682.1
GCF_003665675.1,NZ_CP024677.1,NZ_CP024678.1
GCF_003666425.1,NZ_CP032921.1,NZ_CP032923.1
GCF_003666425.1,NZ_CP032921.1,NZ_CP032924.1
GCF_003666425.1,NZ_CP032921.1,NZ_CP032925.1
GCF_003666425.1,NZ_CP032922.1,NZ_CP032923.1
GCF_003666425.1,NZ_CP032922.1,NZ_CP032924.1
GCF_003666425.1,NZ_CP032922.1,NZ_CP032925.1
GCF_003666445.1,NZ_CP032926.1,NZ_CP032928.1
GCF_003666445.1,NZ_CP032926.1,NZ_CP032929.1
GCF_003666445.1,NZ_CP032927.1,NZ_CP032928.1
GCF_003666445.1,NZ_CP032927.1,NZ_CP032929.1
GCF_003666465.1,NZ_CP032917.1,NZ_CP032919.1
GCF_003666465.1,NZ_CP032917.1,NZ_CP032920.1
GCF_003666465.1,NZ_CP032918.1,NZ_CP032919.1
GCF_003666465.1,NZ_CP032918.1,NZ_CP032920.1
GCF_003667385.1,NZ_CP032986.1,NZ_CP032988.1
GCF_003667385.1,NZ_CP032986.1,NZ_CP032987.1
GCF_003667405.1,NZ_CP032989.1,NZ_CP032991.1
GCF_003667405.1,NZ_CP032989.1,NZ_CP032990.1
GCF_003667425.1,NZ_CP032992.1,NZ_CP032994.1
GCF_003667425.1,NZ_CP032992.1,NZ_CP032995.1
GCF_003667425.1,NZ_CP032992.1,NZ_CP032993.1
GCF_003667725.1,NZ_CP033022.1,NZ_CP033024.1
GCF_003667725.1,NZ_CP033022.1,NZ_CP033025.1
GCF_003667725.1,NZ_CP033022.1,NZ_CP033026.1
GCF_003667725.1,NZ_CP033023.1,NZ_CP033024.1
GCF_003667725.1,NZ_CP033023.1,NZ_CP033025.1
GCF_003667725.1,NZ_CP033023.1,NZ_CP033026.1
GCF_003667745.1,NZ_CP033054.1,NZ_CP033053.1
GCF_003667765.1,NZ_CP033044.1,NZ_CP033045.1
GCF_003667785.1,NZ_CP033046.1,NZ_CP033047.1
GCF_003667805.1,NZ_CP033049.1,NZ_CP033050.1
GCF_003667905.1,NZ_CP033031.1,NZ_CP033033.1
GCF_003667905.1,NZ_CP033032.1,NZ_CP033033.1
GCF_003667925.1,NZ_CP033027.1,NZ_CP033029.1
GCF_003667925.1,NZ_CP033027.1,NZ_CP033030.1
GCF_003667925.1,NZ_CP033028.1,NZ_CP033029.1
GCF_003667925.1,NZ_CP033028.1,NZ_CP033030.1
GCF_003667945.1,NZ_CP033034.1,NZ_CP033036.1
GCF_003667945.1,NZ_CP033034.1,NZ_CP033037.1
GCF_003667945.1,NZ_CP033034.1,NZ_CP033038.1
GCF_003667945.1,NZ_CP033035.1,NZ_CP033036.1
GCF_003667945.1,NZ_CP033035.1,NZ_CP033037.1
GCF_003667945.1,NZ_CP033035.1,NZ_CP033038.1
GCF_003667965.1,NZ_CP033041.1,NZ_CP033042.1
GCF_003668795.1,NZ_CP033065.1,NZ_CP033067.1
GCF_003668795.1,NZ_CP033066.1,NZ_CP033067.1
GCF_003671975.1,NZ_CP022562.1,NZ_CP022563.1
GCF_003675305.1,NZ_CP033076.1,NZ_CP033075.1
GCF_003675305.1,NZ_CP033076.1,NZ_CP033074.1
GCF_003675325.1,NZ_CP033073.1,NZ_CP033072.1
GCF_003687415.1,NZ_CP033081.1,NZ_CP033082.1
GCF_003687415.1,NZ_CP033081.1,NZ_CP033083.1
GCF_003688615.2,NZ_CP049703.1,NZ_CP049704.1
GCF_003691365.1,NZ_CP033087.1,NZ_CP033088.1
GCF_003691385.1,NZ_CP033090.1,NZ_CP033089.1
GCF_003691405.1,NZ_CP033098.1,NZ_CP033099.1
GCF_003691405.1,NZ_CP033098.1,NZ_CP033100.1
GCF_003691405.1,NZ_CP033098.1,NZ_CP033101.1
GCF_003691425.1,NZ_CP033096.1,NZ_CP033097.1
GCF_003691425.1,NZ_CP033096.1,NZ_CP033093.1
GCF_003691425.1,NZ_CP033096.1,NZ_CP033095.1
GCF_003691425.1,NZ_CP033096.1,NZ_CP033094.1
GCF_003691485.1,NZ_CP033134.1,NZ_CP033136.1
GCF_003691485.1,NZ_CP033135.1,NZ_CP033136.1
GCF_003691505.1,NZ_CP033137.1,NZ_CP033139.1
GCF_003691505.1,NZ_CP033137.1,NZ_CP033140.1
GCF_003691505.1,NZ_CP033138.1,NZ_CP033139.1
GCF_003691505.1,NZ_CP033138.1,NZ_CP033140.1
GCF_003691525.1,NZ_CP033141.1,NZ_CP033143.1
GCF_003691525.1,NZ_CP033142.1,NZ_CP033143.1
GCF_003691545.1,NZ_CP033144.1,NZ_CP033146.1
GCF_003691545.1,NZ_CP033144.1,NZ_CP033147.1
GCF_003691545.1,NZ_CP033145.1,NZ_CP033146.1
GCF_003691545.1,NZ_CP033145.1,NZ_CP033147.1
GCF_003692595.1,NZ_CP024058.1,NZ_CP024059.1
GCF_003692595.1,NZ_CP024058.1,NZ_CP024060.1
GCF_003692595.1,NZ_CP024058.1,NZ_CP024061.1
GCF_003692595.1,NZ_CP024058.1,NZ_CP024062.1
GCF_003692695.1,NZ_CP028478.1,NZ_CP028479.1
GCF_003692695.1,NZ_CP028478.1,NZ_CP028480.1
GCF_003697165.2,NZ_CP033092.2,NZ_CP033091.2
GCF_003697225.1,NZ_CP033214.1,NZ_CP033215.1
GCF_003697245.1,NZ_CP033216.1,NZ_CP033217.1
GCF_003697265.1,NZ_CP033230.1,NZ_CP033227.1
GCF_003697265.1,NZ_CP033230.1,NZ_CP033228.1
GCF_003697265.1,NZ_CP033230.1,NZ_CP033229.1
GCF_003698225.1,NZ_CP031059.1,NZ_CP031060.1
GCF_003703795.1,NZ_CP033250.1,NZ_CP033251.1
GCF_003703795.1,NZ_CP033250.1,NZ_CP033252.1
GCF_003704305.1,NZ_CP031649.1,NZ_CP031650.1
GCF_003704305.1,NZ_CP031649.1,NZ_CP031651.1
GCF_003704305.1,NZ_CP031649.1,NZ_CP031652.1
GCF_003710125.1,NZ_CP033338.1,NZ_CP033339.1
GCF_003710165.1,NZ_CP033340.1,NZ_CP033341.1
GCF_003710165.1,NZ_CP033340.1,NZ_CP033342.1
GCF_003710185.1,NZ_CP033345.1,NZ_CP033346.1
GCF_003711005.1,NZ_CP033378.1,NZ_CP033379.1
GCF_003711005.1,NZ_CP033378.1,NZ_CP033380.1
GCF_003711045.1,NZ_CP033401.1,NZ_CP033397.1
GCF_003711045.1,NZ_CP033401.1,NZ_CP033400.1
GCF_003711045.1,NZ_CP033401.1,NZ_CP033398.1
GCF_003711045.1,NZ_CP033401.1,NZ_CP033399.1
GCF_003711065.1,NZ_CP033405.1,NZ_CP033402.1
GCF_003711065.1,NZ_CP033405.1,NZ_CP033403.1
GCF_003711065.1,NZ_CP033405.1,NZ_CP033404.1
GCF_003711225.1,NZ_CP031030.1,NZ_CP031031.1
GCF_003711225.1,NZ_CP031030.1,NZ_CP031032.1
GCF_003711225.1,NZ_CP031030.1,NZ_CP031033.1
GCF_003713105.1,NZ_CP033430.1,NZ_CP033429.1
GCF_003713105.1,NZ_CP033431.1,NZ_CP033429.1
GCF_003716995.1,NZ_CP029923.1,NZ_CP029924.1
GCF_003717015.1,NZ_CP029886.1,NZ_CP029887.1
GCF_003717035.1,NZ_CP029911.1,NZ_CP029910.1
GCF_003717075.1,NZ_CP029928.1,NZ_CP029929.1
GCF_003717095.1,NZ_CP029930.1,NZ_CP029931.1
GCF_003717115.1,NZ_CP029933.1,NZ_CP029934.1
GCF_003717135.1,NZ_CP029936.1,NZ_CP029935.1
GCF_003717215.1,NZ_CP029944.1,NZ_CP029943.1
GCF_003717355.1,NZ_CP029946.1,NZ_CP029947.1
GCF_003717395.1,NZ_CP029949.1,NZ_CP029948.1
GCF_003717455.1,NZ_CP029938.1,NZ_CP029937.1
GCF_003717475.1,NZ_CP029940.1,NZ_CP029939.1
GCF_003717515.1,NZ_CP029950.1,NZ_CP029951.1
GCF_003717535.1,NZ_CP029954.1,NZ_CP029953.1
GCF_003717575.1,NZ_CP029956.1,NZ_CP029955.1
GCF_003717615.1,NZ_CP029861.1,NZ_CP029860.1
GCF_003717655.1,NZ_CP029864.1,NZ_CP029865.1
GCF_003717675.1,NZ_CP029866.1,NZ_CP029867.1
GCF_003717695.1,NZ_CP029868.1,NZ_CP029869.1
GCF_003717735.1,NZ_CP029872.1,NZ_CP029871.1
GCF_003717755.1,NZ_CP029897.1,NZ_CP029898.1
GCF_003717815.1,NZ_CP029873.1,NZ_CP029874.1
GCF_003717835.1,NZ_CP029888.1,NZ_CP029889.1
GCF_003717875.1,NZ_CP029890.1,NZ_CP029891.1
GCF_003717895.1,NZ_CP029892.1,NZ_CP029893.1
GCF_003717915.1,NZ_CP029913.1,NZ_CP029912.1
GCF_003717975.1,NZ_CP029900.1,NZ_CP029901.1
GCF_003717995.1,NZ_CP029875.1,NZ_CP029876.1
GCF_003718035.1,NZ_CP029915.1,NZ_CP029916.1
GCF_003718075.1,NZ_CP029920.1,NZ_CP029921.1
GCF_003718115.1,NZ_CP029883.1,NZ_CP029884.1
GCF_003718135.1,NZ_CP029902.1,NZ_CP029903.1
GCF_003718195.1,NZ_CP029896.1,NZ_CP029895.1
GCF_003718255.1,NZ_CP029904.1,NZ_CP029905.1
GCF_003718275.1,NZ_CP029878.1,NZ_CP029877.1
GCF_003718295.1,NZ_CP029880.1,NZ_CP029879.1
GCF_003718355.1,NZ_CP029846.1,NZ_CP029847.1
GCF_003718395.1,NZ_CP029960.1,NZ_CP029961.1
GCF_003718415.1,NZ_CP029962.1,NZ_CP029963.1
GCF_003718435.1,NZ_CP029964.1,NZ_CP029965.1
GCF_003718455.1,NZ_CP029848.1,NZ_CP029849.1
GCF_003718475.1,NZ_CP029850.1,NZ_CP029851.1
GCF_003718535.1,NZ_CP029856.1,NZ_CP029857.1
GCF_003718555.1,NZ_CP029858.1,NZ_CP029859.1
GCF_003718575.1,NZ_CP029853.1,NZ_CP029854.1
GCF_003718635.1,NZ_CP029925.1,NZ_CP029926.1
GCF_003718655.1,NZ_CP029958.1,NZ_CP029957.1
GCF_003719235.1,NZ_CP029942.1,NZ_CP029941.1
GCF_003719555.1,NZ_CP029646.1,NZ_CP029645.1
GCF_003719555.1,NZ_CP029646.1,NZ_CP029647.1
GCF_003719615.1,NZ_CP033466.1,NZ_CP033467.1
GCF_003719615.1,NZ_CP033466.1,NZ_CP033468.1
GCF_003719615.1,NZ_CP033466.1,NZ_CP033469.1
GCF_003719755.1,NZ_CP033515.1,NZ_CP033514.1
GCF_003719755.1,NZ_CP033513.1,NZ_CP033514.1
GCF_003721155.3,NZ_CP044548.2,NZ_CP046475.1
GCF_003721455.1,NZ_CP033575.1,NZ_CP033574.1
GCF_003721495.1,NZ_CP033581.1,NZ_CP033582.1
GCF_003721495.1,NZ_CP033581.1,NZ_CP033583.1
GCF_003721495.1,NZ_CP033581.1,NZ_CP033584.1
GCF_003721495.1,NZ_CP033581.1,NZ_CP033585.1
GCF_003726935.1,NZ_CP033577.1,NZ_CP033579.1
GCF_003726935.1,NZ_CP033578.1,NZ_CP033579.1
GCF_003790485.1,NZ_CP033625.1,NZ_CP033626.1
GCF_003790485.1,NZ_CP033625.1,NZ_CP033627.1
GCF_003790485.1,NZ_CP033625.1,NZ_CP033628.1
GCF_003790485.1,NZ_CP033625.1,NZ_CP033629.1
GCF_003790485.1,NZ_CP033625.1,NZ_CP033630.1
GCF_003790485.1,NZ_CP033625.1,NZ_CP033624.1
GCF_003790525.1,NZ_CP033635.1,NZ_CP033632.1
GCF_003790525.1,NZ_CP033635.1,NZ_CP033633.1
GCF_003790525.1,NZ_CP033635.1,NZ_CP033634.1
GCF_003790525.1,NZ_CP033635.1,NZ_CP033636.1
GCF_003795105.1,NZ_CP027768.1,NZ_CP027769.1
GCF_003795125.1,NZ_CP027783.1,NZ_CP027784.1
GCF_003795125.1,NZ_CP027783.1,NZ_CP027785.1
GCF_003795145.1,NZ_CP027786.1,NZ_CP027787.1
GCF_003798205.1,NZ_CP033690.1,NZ_CP033689.1
GCF_003798205.1,NZ_CP033690.1,NZ_CP033691.1
GCF_003798205.1,NZ_CP033690.1,NZ_CP033692.1
GCF_003798205.1,NZ_CP033690.1,NZ_CP033693.1
GCF_003798225.1,NZ_CP033699.1,NZ_CP033697.1
GCF_003798225.1,NZ_CP033699.1,NZ_CP033698.1
GCF_003798225.1,NZ_CP033699.1,NZ_CP033700.1
GCF_003798285.1,NZ_CP033709.1,NZ_CP033708.1
GCF_003798305.1,NZ_CP033717.1,NZ_CP033716.1
GCF_003798345.1,NZ_CP033696.1,NZ_CP033694.1
GCF_003798345.1,NZ_CP033696.1,NZ_CP033695.1
GCF_003798405.1,NZ_CP033711.1,NZ_CP033710.1
GCF_003798425.1,NZ_CP033713.1,NZ_CP033712.1
GCF_003798445.1,NZ_CP033715.1,NZ_CP033714.1
GCF_003812065.1,NZ_CP033754.1,NZ_CP033753.1
GCF_003812065.1,NZ_CP033754.1,NZ_CP033752.1
GCF_003812065.1,NZ_CP033754.1,NZ_CP033751.1
GCF_003812085.1,NZ_CP033756.1,NZ_CP033755.1
GCF_003812085.1,NZ_CP033756.1,NZ_CP033758.1
GCF_003812085.1,NZ_CP033756.1,NZ_CP033759.1
GCF_003812085.1,NZ_CP033757.1,NZ_CP033755.1
GCF_003812085.1,NZ_CP033757.1,NZ_CP033758.1
GCF_003812085.1,NZ_CP033757.1,NZ_CP033759.1
GCF_003812105.1,NZ_CP033777.1,NZ_CP033774.1
GCF_003812105.1,NZ_CP033777.1,NZ_CP033775.1
GCF_003812105.1,NZ_CP033777.1,NZ_CP033776.1
GCF_003812105.1,NZ_CP033777.1,NZ_CP033778.1
GCF_003812105.1,NZ_CP033777.1,NZ_CP033779.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033788.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033789.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033790.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033791.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033792.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033793.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033794.1
GCF_003812125.1,NZ_CP033795.1,NZ_CP033796.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033797.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033798.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033799.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033801.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033802.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033803.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033804.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033805.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033806.1
GCF_003812145.1,NZ_CP033800.1,NZ_CP033807.1
GCF_003812165.1,NZ_CP033771.1,NZ_CP033772.1
GCF_003812165.1,NZ_CP033771.1,NZ_CP033773.1
GCF_003812185.1,NZ_CP033817.1,NZ_CP033818.1
GCF_003812185.1,NZ_CP033817.1,NZ_CP033819.1
GCF_003812185.1,NZ_CP033817.1,NZ_CP033820.1
GCF_003812185.1,NZ_CP033817.1,NZ_CP033821.1
GCF_003812205.1,NZ_CP033862.1,NZ_CP033863.1
GCF_003812205.1,NZ_CP033862.1,NZ_CP033864.1
GCF_003812225.1,NZ_CP033866.1,NZ_CP033867.1
GCF_003812245.1,NZ_CP033858.1,NZ_CP033857.1
GCF_003812245.1,NZ_CP033858.1,NZ_CP033859.1
GCF_003812245.1,NZ_CP033858.1,NZ_CP033860.1
GCF_003812305.1,NZ_CP033740.1,NZ_CP033739.1
GCF_003812305.1,NZ_CP033740.1,NZ_CP033741.1
GCF_003812345.1,NZ_CP033744.1,NZ_CP033743.1
GCF_003812385.1,NZ_CP033768.1,NZ_CP033769.1
GCF_003812385.1,NZ_CP033768.1,NZ_CP033770.1
GCF_003812425.1,NZ_CP033782.1,NZ_CP033781.1
GCF_003812425.1,NZ_CP033782.1,NZ_CP033783.1
GCF_003812485.1,NZ_CP033869.1,NZ_CP033872.1
GCF_003812485.1,NZ_CP033869.1,NZ_CP033871.1
GCF_003812485.1,NZ_CP033869.1,NZ_CP033870.1
GCF_003812505.1,NZ_CP033732.1,NZ_CP033731.1
GCF_003812505.1,NZ_CP033732.1,NZ_CP033733.1
GCF_003812625.1,NZ_CP033762.1,NZ_CP033761.1
GCF_003812625.1,NZ_CP033762.1,NZ_CP033763.1
GCF_003812625.1,NZ_CP033762.1,NZ_CP033764.1
GCF_003812625.1,NZ_CP033762.1,NZ_CP033765.1
GCF_003812625.1,NZ_CP033762.1,NZ_CP033766.1
GCF_003812725.1,NZ_CP033815.1,NZ_CP033816.1
GCF_003812745.1,NZ_CP033831.1,NZ_CP033830.1
GCF_003812845.1,NZ_CP033824.1,NZ_CP033823.1
GCF_003812845.1,NZ_CP033824.1,NZ_CP033825.1
GCF_003812845.1,NZ_CP033824.1,NZ_CP033826.1
GCF_003812845.1,NZ_CP033824.1,NZ_CP033827.1
GCF_003812925.1,NZ_CP033844.1,NZ_CP033845.1
GCF_003812925.1,NZ_CP033844.1,NZ_CP033846.1
GCF_003812945.1,NZ_CP033850.1,NZ_CP033847.1
GCF_003812945.1,NZ_CP033850.1,NZ_CP033848.1
GCF_003812945.1,NZ_CP033850.1,NZ_CP033849.1
GCF_003812945.1,NZ_CP033850.1,NZ_CP033851.1
GCF_003812945.1,NZ_CP033850.1,NZ_CP033852.1
GCF_003812945.1,NZ_CP033850.1,NZ_CP033853.1
GCF_003813025.1,NZ_CP033835.1,NZ_CP033834.1
GCF_003813125.1,NZ_CP033888.1,NZ_CP033889.1
GCF_003813125.1,NZ_CP033888.1,NZ_CP033890.1
GCF_003813125.1,NZ_CP033888.1,NZ_CP033891.1
GCF_003813125.1,NZ_CP033888.1,NZ_CP033892.1
GCF_003813145.1,NZ_CP033884.1,NZ_CP033882.1
GCF_003813145.1,NZ_CP033884.1,NZ_CP033883.1
GCF_003813145.1,NZ_CP033884.1,NZ_CP033880.1
GCF_003813145.1,NZ_CP033884.1,NZ_CP033881.1
GCF_003813145.1,NZ_CP033884.1,NZ_CP033879.1
GCF_003813165.1,NZ_CP033885.1,NZ_CP033886.1
GCF_003813165.1,NZ_CP033885.1,NZ_CP033887.1
GCF_003814005.1,NZ_CP033898.1,NZ_CP033899.1
GCF_003814345.1,NZ_CP032566.1,NZ_CP032567.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028866.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028867.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028870.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028863.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028869.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028864.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028868.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028871.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028865.1
GCF_003814405.1,NZ_CP028861.1,NZ_CP028862.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028876.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028874.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028877.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028882.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028875.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028878.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028879.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028880.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028881.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028883.1
GCF_003814425.1,NZ_CP028872.1,NZ_CP028873.1
GCF_003815635.1,NZ_CP033915.1,NZ_CP033916.1
GCF_003815675.1,NZ_CP033918.1,NZ_CP033919.1
GCF_003815775.1,NZ_CP033926.1,NZ_CP033927.1
GCF_003815835.1,NZ_CP033912.1,NZ_CP033913.1
GCF_003815995.1,NZ_CP033934.1,NZ_CP033935.1
GCF_003850165.1,NZ_CP033946.1,NZ_CP033947.1
GCF_003850165.1,NZ_CP033946.1,NZ_CP033948.1
GCF_003850165.1,NZ_CP033946.1,NZ_CP033949.1
GCF_003850165.1,NZ_CP033946.1,NZ_CP033950.1
GCF_003850165.1,NZ_CP033946.1,NZ_CP033951.1
GCF_003850165.1,NZ_CP033946.1,NZ_CP033952.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033938.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033939.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033940.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033941.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033942.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033943.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033944.1
GCF_003850185.1,NZ_CP033937.1,NZ_CP033945.1
GCF_003854935.1,NZ_CP033969.1,NZ_CP033968.1
GCF_003854935.1,NZ_CP033969.1,NZ_CP033971.1
GCF_003854935.1,NZ_CP033970.1,NZ_CP033968.1
GCF_003854935.1,NZ_CP033970.1,NZ_CP033971.1
GCF_003855175.1,NZ_CP034016.1,NZ_CP034017.1
GCF_003855195.1,NZ_CP034022.1,NZ_CP034023.1
GCF_003855215.1,NZ_CP034020.1,NZ_CP034021.1
GCF_003855235.1,NZ_CP034028.1,NZ_CP034029.1
GCF_003855295.1,NZ_CP034024.1,NZ_CP034025.1
GCF_003855315.1,NZ_CP034045.1,NZ_CP034046.1
GCF_003855315.1,NZ_CP034045.1,NZ_CP034047.1
GCF_003855315.1,NZ_CP034045.1,NZ_CP034048.1
GCF_003855315.1,NZ_CP034045.1,NZ_CP034049.1
GCF_003855315.1,NZ_CP034045.1,NZ_CP034050.1
