Plasmid,%GC,Size_bp,GC_bp,Putative_plasmid_T6SS,Transmissible_plasmid
NZ_AP022233.1,48.25845532559313,5943,2868,Absent,Non-transmissible
NZ_CP060958.1,49.81649131392219,4087,2036,Absent,Transmissible
NZ_CP020471.1,62.375355558808,157147,98021,Absent,Non-transmissible
NZ_CP090691.1,61.27170961627132,156152,95677,Orphan island,Transmissible
NZ_MW307890.1,46.22830761885327,259711,120060,Absent,Transmissible
NZ_CP011517.1,30.7624930850083,21692,6673,Absent,Transmissible
NZ_CP031882.1,44.77585906157335,5733,2567,Absent,Non-transmissible
NZ_CP019138.1,47.658260422027794,1943,926,Absent,Non-transmissible
NZ_CP068065.1,30.59811431938716,6788,2077,Absent,Transmissible
NZ_CP050395.1,38.38383838383838,2673,1026,Absent,Non-transmissible
NZ_CP076831.1,37.25625539257981,11590,4318,Absent,Transmissible
NZ_CP092410.1,50.44709558949325,175354,88461,Absent,Non-transmissible
NZ_CP091930.1,35.88841387261024,83272,29885,Absent,Non-transmissible
NZ_AP023178.1,58.62603839922788,58022,34016,Absent,Transmissible
NZ_CP065176.1,53.04022909597317,101966,54083,Absent,Transmissible
NC_012194.1,28.155717221080693,54021,15210,Absent,Non-transmissible
NZ_CP086893.1,59.55344575387078,72466,43156,Absent,Non-transmissible
NZ_CP007556.1,39.49818934299017,38660,15270,Absent,Non-transmissible
NZ_CP063937.1,52.20320186226282,182144,95085,Absent,Transmissible
NZ_CP043035.1,53.180022885829246,108364,57628,Absent,Transmissible
NZ_CP025965.2,52.4342876276578,59730,31319,Absent,Transmissible
NZ_CP096198.1,51.75595238095238,3360,1739,Absent,Transmissible
NC_019377.1,37.38604567199206,55395,20710,Absent,Non-transmissible
NZ_CP076212.1,33.05664834990982,94813,31342,Absent,Transmissible
NZ_CP026941.2,50.932732378244,111822,56954,Absent,Transmissible
NZ_CP066580.1,37.12642676657663,11477,4261,Absent,Transmissible
NZ_CP023723.1,46.44309761597938,297984,138393,Absent,Transmissible
NZ_LR134211.1,50.19651197335035,205331,103069,Absent,Non-transmissible
NZ_CP036636.1,30.4116865869854,753,229,Absent,Non-transmissible
NC_015176.1,29.8025697273582,3191,951,Absent,Non-transmissible
NZ_AP025817.1,51.5224358974359,2496,1286,Absent,Non-transmissible
NZ_CP090684.1,61.27146159806853,156151,95676,Orphan island,Transmissible
NZ_CP047433.1,29.1889007470651,22488,6564,Absent,Transmissible
NZ_CP039490.1,49.08863405739049,131067,64339,Absent,Transmissible
NZ_LT900340.1,56.10508882866606,26568,14906,Absent,Non-transmissible
NZ_CP056693.1,52.84581176158237,60264,31847,Absent,Transmissible
NZ_MW650891.1,52.9878004058382,204515,108368,Absent,Transmissible
NZ_CP006029.1,52.62155171078515,64561,33973,Absent,Non-transmissible
NZ_CP038447.1,56.97601668404588,4795,2732,Absent,Non-transmissible
NZ_CP044330.1,60.24620857517319,213640,128710,Absent,Transmissible
NZ_CP063901.1,49.92518618438205,176438,88087,Absent,Non-transmissible
NZ_AP022664.1,41.57384117858426,2783,1157,Absent,Transmissible
NZ_CP027567.1,34.204275534441805,1263,432,Absent,Non-transmissible
NZ_CP059044.1,47.89324775938022,315984,151335,Absent,Transmissible
NZ_CP036667.1,27.868852459016395,488,136,Absent,Non-transmissible
NZ_CP026413.1,35.98126933690108,11959,4303,Absent,Non-transmissible
NZ_CP075091.1,30.58782242498684,28495,8716,Absent,Non-transmissible
NZ_CP078133.1,41.5439293529713,64433,26768,Absent,Transmissible
NZ_CP034168.1,35.5422785733832,87704,31172,Absent,Transmissible
NZ_CP085165.1,59.01234567901235,5670,3346,Absent,Transmissible
NZ_CP065685.1,64.89344966143803,305114,197999,Orphan island,Transmissible
NZ_CP082335.1,35.3624308493329,49168,17387,Absent,Transmissible
NZ_AP021920.1,58.24795719440873,24109,14043,Absent,Transmissible
NZ_CP095858.1,54.12358133669609,107055,57942,Absent,Transmissible
NZ_CP069941.1,50.09053256280558,224781,112594,Absent,Non-transmissible
NZ_CP053049.1,46.20273699836882,224991,103952,Absent,Transmissible
NZ_CP020963.1,60.66641133665262,5222,3168,Absent,Transmissible
NZ_CP033853.1,47.25207245931839,3257,1539,Absent,Non-transmissible
NZ_CP027450.1,39.61051997590845,34867,13811,Absent,Transmissible
NZ_KX034083.1,42.510501385289125,67134,28539,Absent,Transmissible
NZ_CP035993.1,31.173864894795127,1806,563,Absent,Non-transmissible
NZ_CP064179.1,51.712671334721136,73978,38256,Absent,Non-transmissible
NZ_CP053484.1,49.87214199759326,26592,13262,Absent,Non-transmissible
NZ_CP080131.1,45.65156206023079,3553,1622,Absent,Non-transmissible
NZ_CP069650.1,41.85340943226194,33290,13933,Absent,Transmissible
NZ_CP017867.1,29.235880398671096,25284,7392,Absent,Transmissible
NZ_CP032258.1,50.95326986011419,128033,65237,Absent,Transmissible
NZ_CP018826.1,36.87700045724737,4374,1613,Absent,Transmissible
NZ_CP026137.1,54.80183435506783,104887,57480,Absent,Non-transmissible
NZ_CP053961.1,32.5073650135656,85879,27917,Absent,Transmissible
NZ_CP013925.1,36.4205876192471,52517,19127,Absent,Transmissible
NZ_CP004240.1,26.90058479532164,10260,2760,Absent,Non-transmissible
NC_005322.1,37.84381139489194,8144,3082,Absent,Non-transmissible
NZ_CP062904.1,49.0448245723561,8009,3928,Absent,Non-transmissible
NZ_CP047753.1,50.04008337341671,6237,3121,Absent,Transmissible
NZ_CP032118.2,36.80003513549124,22769,8379,Absent,Non-transmissible
NZ_CP037193.1,18.587360594795538,269,50,Absent,Non-transmissible
NZ_CP074189.1,49.59789057350033,7585,3762,Absent,Non-transmissible
NZ_CP050343.1,51.02068563659319,205940,105072,Absent,Transmissible
NZ_CP070039.1,51.47795216741405,107040,55102,Absent,Non-transmissible
NZ_CP035468.1,51.83825709898713,151747,78663,Absent,Transmissible
NC_019271.1,29.85663827134843,4813,1437,Absent,Non-transmissible
NZ_MT230145.1,57.69230769230769,260,150,Absent,Non-transmissible
NC_013783.1,36.13550815558344,1594,576,Absent,Non-transmissible
NC_009479.1,66.49616368286445,69989,46540,Absent,Transmissible
NZ_CP056424.1,36.94188076827139,4009,1481,Absent,Transmissible
NZ_AP014831.1,32.24147781374976,5251,1693,Absent,Non-transmissible
NZ_CP021275.1,37.97444729117532,58937,22381,Absent,Transmissible
NZ_MH643786.1,49.96510621667644,214938,107394,Absent,Non-transmissible
NZ_CP070594.1,52.95347739077643,88946,47100,Absent,Transmissible
NZ_MK295826.1,52.15112933027736,99041,51651,Absent,Non-transmissible
NZ_CP055011.1,46.96754656402211,274085,128731,Absent,Transmissible
NZ_CP085998.1,62.13495922024809,213709,132788,Orphan island,Transmissible
NZ_CP038140.1,49.97409139978409,138950,69439,Absent,Non-transmissible
NZ_CP021759.1,46.64976928576071,46161,21534,Absent,Transmissible
NZ_CP072123.1,39.54746567020472,218105,86255,Absent,Non-transmissible
NZ_CP063818.1,26.79668516494593,94243,25254,Absent,Non-transmissible
NZ_AP014816.1,31.941108734989307,60790,19417,Absent,Non-transmissible
NZ_MT810365.1,56.45930469622565,112814,63694,Absent,Non-transmissible
NZ_CP038949.1,38.13804063637451,58519,22318,Absent,Non-transmissible
NZ_CP067962.1,45.47607399678764,230983,105042,Absent,Non-transmissible
NZ_MW810613.1,46.56637084144084,273923,127556,Absent,Transmissible
NC_011311.1,40.07062485037108,83540,33475,Orphan island,Transmissible
NZ_CP021668.1,42.965779467680605,14465,6215,Absent,Transmissible
NZ_CP057102.1,48.54821724086054,6647,3227,Absent,Transmissible
NZ_CP069977.1,54.4529262086514,1572,856,Absent,Transmissible
NZ_CP013740.1,70.88747580868123,7234,5128,Absent,Non-transmissible
NC_004934.1,69.75150400033078,96742,67479,Absent,Transmissible
NZ_MK569690.1,54.79781497585026,199174,109143,Absent,Non-transmissible
NZ_KY659388.1,49.58905651880208,53292,26427,Absent,Transmissible
NC_006394.1,58.33290405666452,155300,90591,Absent,Non-transmissible
NZ_CP037847.1,25.75402635431918,6830,1759,Absent,Non-transmissible
NZ_CP035830.1,50.47103814942636,75047,37877,Absent,Transmissible
NZ_CP067901.1,53.87922043766494,110267,59411,Absent,Non-transmissible
NZ_CP048660.1,40.4321540893314,184101,74436,Absent,Non-transmissible
NZ_AP019693.1,55.517578125,4096,2274,Absent,Transmissible
NZ_CP020481.1,32.81488258615432,3279,1076,Absent,Non-transmissible
NZ_CP055468.1,52.68226342969511,108826,57332,Absent,Non-transmissible
NZ_CP047354.1,41.78158777487887,2683,1121,Absent,Non-transmissible
NZ_MT269844.1,54.177970138126696,144867,78486,Absent,Non-transmissible
NC_019388.1,68.4305261870227,57223,39158,Absent,Non-transmissible
NZ_AP011527.1,28.91426679907316,12084,3494,Absent,Non-transmissible
NZ_CP068179.1,38.65706418131752,4721,1825,Absent,Transmissible
NZ_CP035570.1,42.808022922636106,5235,2241,Absent,Non-transmissible
NZ_MT230195.1,53.44827586206897,1044,558,Absent,Non-transmissible
NC_024974.1,50.91182248931007,43265,22027,Absent,Transmissible
NZ_CP063340.1,47.09167054443928,2149,1012,Absent,Non-transmissible
NZ_CP097657.1,50.34064206380065,59153,29778,Absent,Transmissible
NZ_CP036007.1,33.32165334698993,371005,123625,Absent,Transmissible
NZ_CP085897.1,32.056715242221344,63475,20348,Absent,Transmissible
NZ_CP050010.1,50.534346699280746,34341,17354,Absent,Transmissible
NZ_AP024573.1,51.6351243894127,220075,113636,Absent,Transmissible
NZ_CP017411.1,42.16055726847094,17514,7384,Absent,Non-transmissible
NZ_CP068250.1,35.015389152030075,54259,18999,Absent,Non-transmissible
NZ_CP044887.1,43.75,480,210,Absent,Non-transmissible
NZ_CP030770.1,52.419828968466064,149680,78462,Absent,Transmissible
NZ_CP090586.1,68.94132292197136,17673,12184,Absent,Non-transmissible
NC_019265.2,57.87227138274903,80123,46369,Absent,Non-transmissible
NZ_CP075969.1,25.724429593275204,57459,14781,Absent,Transmissible
NZ_CP013700.1,25.428370734040247,267642,68057,Absent,Non-transmissible
NZ_CP029095.1,54.38441098317095,1129,614,Absent,Non-transmissible
NZ_CP097414.1,44.34978702079679,3991,1770,Absent,Non-transmissible
NZ_CP056648.1,50.85814181989869,78367,39856,Absent,Non-transmissible
NZ_KT982618.1,50.55535094690729,51589,26081,Absent,Transmissible
NZ_CP044932.1,37.35408560311284,257,96,Absent,Non-transmissible
NC_011376.1,35.25252525252525,2970,1047,Absent,Non-transmissible
NZ_CP014843.1,36.490169359548375,205480,74980,Absent,Non-transmissible
NZ_CP067900.1,52.351791530944624,237925,124558,Absent,Non-transmissible
NZ_MN783744.1,52.56847965167402,164903,86687,Absent,Transmissible
NZ_CP019924.1,26.925582152743853,36846,9921,Absent,Non-transmissible
NZ_CP066613.1,38.28487661861716,4093,1567,Absent,Non-transmissible
NZ_CP010737.1,58.23252322621353,183844,107057,Absent,Transmissible
NZ_CP007636.1,52.36298851536765,167267,87586,Absent,Transmissible
NZ_CP015201.1,40.37554585152839,11450,4623,Absent,Non-transmissible
NZ_CP039841.1,52.564516129032256,6200,3259,Absent,Non-transmissible
NZ_CP039501.1,49.98472162806331,81815,40895,Absent,Transmissible
NZ_CP060475.1,62.60990471516787,24453,15310,Absent,Transmissible
NZ_CP044240.1,42.293063434760185,31024,13121,Absent,Non-transmissible
NZ_CP034042.1,44.01197604790419,5010,2205,Absent,Non-transmissible
NZ_MG252891.1,46.66060094018761,46161,21539,Absent,Transmissible
NZ_CP070923.1,47.412441700826655,102703,48694,Absent,Transmissible
NZ_KJ599675.1,69.55833079500457,82075,57090,Absent,Non-transmissible
NZ_CP041573.1,52.03894707498706,100444,52270,Absent,Transmissible
NZ_KX353853.1,57.133377571333774,4521,2583,Absent,Non-transmissible
NZ_CP077819.1,51.57078099276065,88682,45734,Absent,Non-transmissible
NZ_CP059433.1,28.66118064452548,40588,11633,Absent,Transmissible
NZ_CP086965.1,61.21662687215108,110568,67686,Absent,Transmissible
NZ_CP016578.1,41.1783431042258,37697,15523,Absent,Transmissible
NZ_LR822058.1,50.8547468014192,9301,4730,Absent,Non-transmissible
NZ_CP026210.1,52.10156602436038,77585,40423,Absent,Transmissible
NZ_CP059308.1,43.88168557536467,4936,2166,Absent,Non-transmissible
NZ_LR131948.1,63.89112775196979,204717,130796,Absent,Transmissible
NZ_CP092919.1,54.87444306677749,73393,40274,Absent,Transmissible
NZ_CP089527.1,31.46490814884597,14861,4676,Absent,Transmissible
NZ_CP028034.2,52.11739669570995,304029,158452,T6SS,Non-transmissible
NC_019772.1,39.10242127998181,219925,85996,Absent,Transmissible
NZ_CP071877.1,46.24624777929795,195884,90589,Absent,Transmissible
NZ_CP016323.1,41.1750305997552,40850,16820,Absent,Non-transmissible
NZ_CP022758.1,66.4388938367066,1988531,1321158,T6SS,Non-transmissible
NZ_CP063297.1,48.4123344987677,34894,16893,Absent,Transmissible
NZ_CP055291.1,34.63986599664992,8955,3102,Absent,Non-transmissible
NZ_CP086836.1,60.25871324743971,290592,175107,Absent,Non-transmissible
NZ_CP058847.1,50.54929692323823,85837,43390,Absent,Non-transmissible
NZ_CP017866.1,28.915636568311218,46193,13357,Absent,Transmissible
NZ_CP033024.1,57.73224801396343,306515,176958,Absent,Non-transmissible
NC_011299.1,35.92097455408566,28649,10291,Absent,Non-transmissible
NC_016978.1,64.79027124602156,84204,54556,Absent,Transmissible
NZ_CP063504.1,45.78267477203647,5264,2410,Absent,Non-transmissible
NZ_CP044950.1,31.92488262910798,213,68,Absent,Non-transmissible
NZ_CP024290.1,40.99196666026924,36473,14951,Absent,Transmissible
NZ_CP036903.1,29.184549356223176,233,68,Absent,Non-transmissible
NZ_CP030779.2,44.19023726657598,56603,25013,Absent,Non-transmissible
NC_023284.1,70.43241029343366,432159,304380,Absent,Transmissible
NZ_CP063278.1,50.11103364577685,232362,116439,Absent,Non-transmissible
NC_021519.1,41.45900267285834,74078,30712,Absent,Transmissible
NZ_CP028867.1,25.9227753532066,27038,7009,Absent,Non-transmissible
NZ_CP060845.1,47.11265434602716,246524,116144,Absent,Non-transmissible
NZ_CP069868.1,47.38057183448766,5631,2668,Absent,Transmissible
NC_017124.1,58.56749311294766,1815,1063,Absent,Non-transmissible
NZ_CP039943.1,53.9625135388174,54473,29395,Absent,Non-transmissible
NC_013325.1,29.910480577949954,38204,11427,Absent,Non-transmissible
NZ_MN657158.1,56.99577327408692,9227,5259,Absent,Transmissible
NZ_CP051657.1,49.06976744186046,74390,36503,Absent,Transmissible
NZ_LT963393.1,56.25637104994903,86328,48565,Absent,Transmissible
NZ_CP077909.1,28.26403148528405,46752,13214,Absent,Non-transmissible
NZ_CP014743.1,27.24291677471705,119543,32567,T6SS,Transmissible
NZ_CP016183.1,46.925455319222856,230278,108059,Absent,Transmissible
NZ_MW633522.1,51.940526005493005,139086,72242,Absent,Transmissible
NZ_CP083618.1,28.959017951712337,36821,10663,Absent,Non-transmissible
NZ_CP066464.1,33.78741366078281,5212,1761,Absent,Non-transmissible
NZ_CP012989.1,51.82897720491705,134064,69484,Absent,Non-transmissible
NZ_CP057360.1,48.59799070325386,6669,3241,Absent,Transmissible
NZ_CP070099.1,47.16801523084246,2101,991,Absent,Non-transmissible
NZ_CP036630.1,28.708133971291865,836,240,Absent,Non-transmissible
NZ_CP029869.1,51.65141308724467,91891,47463,Absent,Transmissible
NZ_CP013999.1,50.33702455464613,8308,4182,Absent,Non-transmissible
NZ_AP022079.1,52.55479990003927,224088,117769,Absent,Transmissible
NZ_CP061178.1,69.8623277397369,441338,308329,Absent,Non-transmissible
NZ_KX966394.1,48.62254025044723,5590,2718,Absent,Transmissible
NC_020239.1,30.777879461367498,76490,23542,Absent,Transmissible
NC_020121.1,49.210120897198216,38297,18846,Absent,Transmissible
NC_018635.1,32.887594333377464,7553,2484,Absent,Non-transmissible
NZ_CP082806.1,50.157268081237575,217781,109233,Absent,Non-transmissible
NZ_CP082288.1,67.52956690644918,336694,227368,Absent,Non-transmissible
NZ_LT963406.1,55.93738708511847,77492,43347,Absent,Non-transmissible
NZ_AP018263.1,38.29038483369281,8809,3373,Absent,Non-transmissible
NZ_CP058254.1,45.66242338519566,4242,1937,Absent,Non-transmissible
NZ_CP027321.1,47.13441549195501,84276,39723,Absent,Non-transmissible
NZ_MZ127843.1,36.49162258892091,63146,23043,Absent,Transmissible
NC_021730.1,34.342391927531246,8721,2995,Absent,Non-transmissible
NZ_CP097429.1,51.22189023431357,63590,32572,Absent,Transmissible
NZ_AP022282.1,54.22354948805461,166424,90241,Absent,Transmissible
NZ_CP016365.1,56.742714846789774,218458,123959,Absent,Non-transmissible
NZ_MH785244.1,28.95057078287072,17257,4996,Absent,Non-transmissible
NZ_CP086110.1,59.63414086026338,22249,13268,Absent,Transmissible
NC_022050.1,62.27515919790931,202421,126058,Absent,Transmissible
NZ_CP051433.1,49.924944355297896,96595,48225,Absent,Transmissible
NZ_CP005090.1,62.77842565597668,34300,21533,Absent,Transmissible
NZ_CP054610.1,51.11768734102915,40888,20901,Absent,Non-transmissible
NC_011003.1,62.76211135213305,92661,58156,Absent,Transmissible
NZ_CP007177.1,30.53790453672233,27068,8266,Absent,Non-transmissible
NZ_CP045710.1,51.58069883527454,4207,2170,Absent,Transmissible
NZ_CP043361.1,51.14367405289492,5596,2862,Absent,Transmissible
NZ_CP021355.1,64.48174712279301,984201,634630,Absent,Non-transmissible
NC_012494.1,31.90070921985816,28200,8996,Absent,Non-transmissible
NZ_CP075362.1,48.00452500591934,76022,36494,Absent,Non-transmissible
NZ_MF918373.1,52.94072380282309,181928,96314,Absent,Transmissible
NZ_CP094505.1,40.58015267175573,49125,19935,Absent,Transmissible
NZ_EU418931.1,50.03628747978269,96452,48261,Absent,Transmissible
NZ_CP069135.1,41.76842217031217,37672,15735,Absent,Transmissible
NZ_CP045151.1,44.64392841988207,68343,30511,Absent,Non-transmissible
NZ_MK376351.1,53.34703006345574,76904,41026,Absent,Non-transmissible
NZ_CP072485.1,29.255716127281364,29478,8624,Absent,Non-transmissible
NZ_CP025619.2,39.36759905267874,156230,61504,Absent,Non-transmissible
NZ_CP094626.1,31.818351737904944,133753,42558,Absent,Transmissible
NZ_KX928752.1,50.3124769559767,216976,109166,Absent,Transmissible
NZ_AP022102.1,46.66666666666666,3855,1799,Absent,Non-transmissible
NZ_CP071260.1,51.22269574926481,63589,32572,Absent,Transmissible
NZ_CP085166.1,53.51363334072268,4511,2414,Absent,Transmissible
NZ_CP097154.1,60.71533611184838,278806,169278,Absent,Non-transmissible
NZ_CP036204.1,49.17297108810018,65959,32434,Absent,Transmissible
NZ_CP024325.1,29.412560909583107,22164,6519,Absent,Non-transmissible
NZ_CP041393.1,53.00579732993185,139547,73968,Absent,Transmissible
NZ_CP070155.1,54.06032482598608,1293,699,Absent,Non-transmissible
NZ_CP059948.1,50.85627901954432,138915,70647,Absent,Transmissible
NZ_CP053775.1,53.21685508735868,9730,5178,Absent,Transmissible
NZ_CP024910.1,47.1265413324389,351806,165794,Absent,Transmissible
NZ_KJ776579.1,25.06107913371154,48298,12104,Absent,Transmissible
NZ_CP062909.1,51.277379650998014,49398,25330,Absent,Non-transmissible
NZ_CP012926.1,41.1783431042258,37697,15523,Absent,Transmissible
NZ_MK318987.1,56.7889835780659,202534,115017,Absent,Non-transmissible
NZ_CP061635.1,36.20813076028276,134108,48558,Absent,Non-transmissible
NZ_CP048963.1,46.0221550855992,993,457,Absent,Non-transmissible
NZ_CP084771.1,45.593179634966376,224856,102519,Absent,Transmissible
NZ_CP093421.1,34.02043997921358,5773,1964,Absent,Non-transmissible
NZ_AP025880.1,47.34840330104055,376245,178146,Absent,Non-transmissible
NZ_CP050297.1,60.51742344244984,331450,200585,Absent,Non-transmissible
NZ_CP071824.1,53.77610809640864,64683,34784,Absent,Transmissible
NZ_CP089594.1,66.8238945862877,197166,131754,Absent,Non-transmissible
NZ_CP072718.1,37.57105943152455,1935,727,Absent,Non-transmissible
NZ_CP018236.1,57.73685543796442,142112,82051,Absent,Non-transmissible
NZ_CP071764.1,39.92094861660079,2277,909,Absent,Non-transmissible
NZ_CP037101.1,29.561805101373448,1529,452,Absent,Non-transmissible
NZ_MH255827.1,55.00917141327529,113941,62678,Absent,Non-transmissible
NZ_CP059421.1,46.02994486246078,262616,120882,Absent,Transmissible
NZ_CP038911.1,38.67260787992495,38376,14841,Absent,Non-transmissible
NZ_CP082878.1,28.03454958427973,191956,53814,T6SS,Non-transmissible
NZ_CP022051.2,41.74386154170868,42641,17800,Absent,Transmissible
NZ_MK243454.1,33.398618544986995,66886,22339,Absent,Transmissible
NZ_MK412915.1,46.37917637917638,51480,23876,Absent,Transmissible
NZ_KY296095.1,59.15645626463814,51663,30562,Absent,Non-transmissible
NZ_CP073141.1,28.23472041612484,12304,3474,Absent,Non-transmissible
NZ_CP030274.1,70.07654714568481,114178,80012,Absent,Non-transmissible
NZ_CP016416.1,44.12667432672784,127066,56070,T6SS,Transmissible
NZ_MZ396393.1,37.707581227436826,5540,2089,Absent,Transmissible
NC_017414.1,31.55100363088306,29194,9211,Absent,Non-transmissible
NC_017493.1,35.136837400190984,49219,17294,Absent,Transmissible
NZ_CP033251.1,49.28868354646414,164062,80864,Absent,Non-transmissible
NC_017105.1,53.49677489887394,182940,97867,Absent,Non-transmissible
NZ_CP050495.1,40.75293575869215,43430,17699,Absent,Transmissible
NZ_CP047597.1,52.262221400429546,70307,36744,Absent,Transmissible
NZ_MW150990.1,65.08498183666171,53129,34579,Absent,Transmissible
NC_010541.1,41.45843797086891,31856,13207,Absent,Transmissible
NZ_CP038103.1,55.28679259954566,180043,99540,Absent,Transmissible
NZ_CP032742.1,34.808537350910235,28674,9981,Absent,Non-transmissible
NZ_LR890752.1,49.538074390706335,174054,86223,Absent,Non-transmissible
NZ_AP025806.1,51.80894485453756,115150,59658,Absent,Non-transmissible
NZ_CP038379.1,47.80532303069328,93180,44545,Absent,Non-transmissible
NC_009469.1,62.12831495284026,88953,55265,Absent,Transmissible
NZ_CP008888.1,46.70708184072748,3629,1695,Absent,Non-transmissible
NZ_CP086400.1,35.376344086021504,4650,1645,Absent,Transmissible
NZ_CP091483.1,48.447235281677536,61471,29781,Absent,Transmissible
NC_010926.1,46.243969676085456,5804,2684,Absent,Non-transmissible
NZ_CP086997.1,60.257817634974,290593,175105,Absent,Non-transmissible
NZ_CP032131.1,39.42075623491553,1243,490,Absent,Non-transmissible
NZ_LR890351.1,50.9110126837125,59604,30345,Absent,Transmissible
NZ_CP080023.1,31.594446781657552,2377,751,Absent,Non-transmissible
NC_003292.1,51.52543703035178,50969,26262,Absent,Transmissible
NZ_LR134466.1,71.77974554212177,82214,59013,Absent,Non-transmissible
NZ_KX094567.1,45.246604717655465,5596,2532,Absent,Non-transmissible
NZ_CP097009.1,34.53522532010421,72164,24922,Absent,Transmissible
NZ_CP091581.1,32.25997395525039,8447,2725,Absent,Non-transmissible
NZ_CP036847.1,33.60323886639676,494,166,Absent,Non-transmissible
NZ_MN891681.1,54.16781863422726,115744,62696,Absent,Non-transmissible
NZ_CP003995.1,43.84995064165844,5065,2221,Absent,Non-transmissible
NZ_MZ004973.1,50.735000117600016,42517,21571,Absent,Transmissible
NZ_AP019747.1,39.53533026113672,5208,2059,Absent,Non-transmissible
NZ_CP014556.1,39.2476706623595,37457,14701,Absent,Non-transmissible
NZ_CP086828.1,65.34598078560136,82230,53734,Absent,Non-transmissible
NZ_CP084630.1,58.78834564320993,176552,103792,Absent,Transmissible
NZ_CP044511.1,34.655592907520926,75855,26288,Absent,Non-transmissible
NZ_CP060594.1,44.12961348445219,82584,36444,Absent,Transmissible
NZ_CP086898.1,63.09491072190561,210914,133076,Absent,Non-transmissible
NZ_CP047738.1,56.18984488930134,37715,21192,Absent,Non-transmissible
NZ_CP079958.1,31.8242232929058,12038,3831,Absent,Transmissible
NZ_CP095859.1,49.426507398371406,63122,31199,Absent,Transmissible
NZ_CP022245.1,45.86245675971928,70247,32217,Absent,Non-transmissible
NZ_AP022162.1,51.710760534289946,147186,76111,Absent,Transmissible
NZ_CP038909.1,38.58165473614117,90105,34764,Absent,Non-transmissible
NZ_LR130519.1,30.54332951141029,27037,8258,Absent,Non-transmissible
NZ_MN419437.1,50.79032162580449,118243,60056,Absent,Transmissible
NC_019303.1,32.362324871688166,7209,2333,Absent,Transmissible
NZ_CP033919.1,32.48713149274684,25644,8331,Absent,Non-transmissible
NZ_LT984411.1,33.67097382965203,51929,17485,Absent,Non-transmissible
NZ_CP073226.1,28.55011692605435,24802,7081,Absent,Non-transmissible
NZ_CP019244.1,52.53954920901582,71430,37529,Absent,Transmissible
NZ_CP069932.1,53.243416827231854,1557,829,Absent,Non-transmissible
NZ_CP035753.1,47.7943650769372,65378,31247,Absent,Non-transmissible
NZ_CP072972.1,52.17570244107383,116629,60852,Absent,Non-transmissible
NC_009660.1,72.26136099713555,12917,9334,Absent,Non-transmissible
NZ_CP083074.1,41.49268058555315,4167,1729,Absent,Non-transmissible
NZ_CP065165.1,49.29204780429678,114132,56258,Absent,Non-transmissible
NZ_CP067449.1,52.357637715444405,236720,123941,Absent,Non-transmissible
NZ_CP053734.1,51.65606895577222,70770,36557,Absent,Transmissible
NZ_CP027253.1,36.97227079690232,24018,8880,Absent,Non-transmissible
NZ_CP017264.1,43.523291160532985,83229,36224,Absent,Transmissible
NZ_CP069001.1,55.76383731113304,90209,50304,Absent,Transmissible
NZ_CP094506.1,39.23458149779736,18160,7125,Absent,Transmissible
NZ_MH722220.1,51.88858408947035,118475,61475,Absent,Transmissible
NZ_CP054970.1,43.27712926934717,4626,2002,Absent,Non-transmissible
NZ_CP024324.1,31.27948236276352,23955,7493,Absent,Non-transmissible
NZ_CP075067.1,42.35961876015026,60959,25822,Absent,Transmissible
NZ_CP063972.1,51.11016225448335,9368,4788,Absent,Transmissible
NZ_CP090142.1,47.67790274910466,294023,140184,Absent,Transmissible
NZ_CP015504.1,52.969944869286856,56230,29785,Absent,Non-transmissible
NZ_MT230314.1,52.95260115606936,21625,11451,Absent,Non-transmissible
NZ_CP012531.1,36.81508365052669,11297,4159,Absent,Non-transmissible
NZ_LT984412.1,34.95129324823648,35724,12486,Absent,Transmissible
NZ_CP075980.1,26.160667709963484,15336,4012,Absent,Transmissible
NZ_CP018178.1,37.36556049982759,60901,22756,Absent,Transmissible
NZ_CP076180.1,33.05173232083531,94815,31338,Absent,Transmissible
NZ_CP029285.1,61.7288658542927,57691,35612,Absent,Transmissible
NZ_CP022251.1,31.66534286470744,7554,2392,Absent,Transmissible
NC_008768.1,36.2413566850048,39626,14361,Absent,Non-transmissible
NZ_CP031342.1,47.57425797875312,89519,42588,Absent,Transmissible
NZ_CP043212.1,42.421957936520144,64997,27573,Absent,Transmissible
NZ_CP072603.1,60.05287866718641,59003,35433,Absent,Non-transmissible
NZ_CP091987.1,52.28261377987745,171032,89420,Absent,Transmissible
NC_016774.1,34.90779682950502,3091,1079,Absent,Non-transmissible
NZ_LR135393.1,37.7431906614786,2056,776,Absent,Non-transmissible
NZ_CP022318.1,69.02448338778801,47134,32534,Absent,Transmissible
NC_018636.1,32.9328527566413,7491,2467,Absent,Non-transmissible
NZ_MT269840.1,53.40229484351427,166373,88847,Absent,Transmissible
NZ_CP098038.1,40.73883161512028,5820,2371,Absent,Transmissible
NZ_CP063489.1,41.84754871055871,33309,13939,Absent,Transmissible
NZ_LR135380.1,36.23055809698079,4372,1584,Absent,Transmissible
NZ_CP036634.1,31.920529801324506,755,241,Absent,Non-transmissible
NC_009796.1,33.456887646594154,16457,5506,Absent,Transmissible
NZ_CP070256.1,71.90869465473733,8718,6269,Absent,Non-transmissible
NC_014565.1,27.53907231519172,19899,5480,Absent,Non-transmissible
NZ_CP021653.1,66.71901185618543,1999547,1334078,T6SS,Non-transmissible
